	x	y	theta	v	a	sigma	omega	t
34	-1.2425371298725507	-4.750674633756206	-0.7397868207297088	2.500000024972316	-1.315561467786063e-15	0.0009073884799803587	-0.0221856652793296	2.822008168896886
35	-1.0936535637295461	-4.886560470369744	-0.7397214978105908	2.500000024972316	-2.1065822604984822e-16	-0.0008814151958237878	0.010977739586897932	2.9026369737225113
36	-0.9447611214445513	-5.022436581184342	-0.7397849509113651	2.500000024972316	-1.9284636229107775e-15	3.7068267863127205e-06	0.009508042419566565	2.9832657785481365
37	-0.7958773012199903	-5.158322139412408	-0.739784684056887	2.500000024972316	-6.593009262523244e-16	0.0007703289233352841	-0.022311088002966422	3.0638945833737616
38	-0.6469934447337597	-5.294207657910159	-0.7397292280628738	2.500000024972316	1.6414636942455573e-16	-0.001028587436765545	0.02011454118340766	3.144523388199387
39	-0.49810205280991104	-5.430084919696765	-0.7398032761036827	2.500000024972316	-8.7715743437401965e-16	0.0005932239785248638	-0.004008106752519491	3.225152193025012
40	-0.3492207227392799	-5.565973206226705	-0.739760569901485	2.500000024972316	-2.6071841851443082e-15	0.0002700551214442536	-0.014724201019897848	3.305780997850637
41	-0.20033358953184	-5.701855134476484	-0.739741128631462	2.500000024972316	-3.032548647766675e-15	-0.0009171396088454766	0.021203992774438924	3.3864098026762623
42	-0.05144381463524253	-5.837734168145658	-0.7398071535349879	2.500000024972316	-1.8820149269525056e-15	0.0007925129861511211	-0.009892085891312068	3.4670386075018875
43	0.09743698853679734	-5.973623031951727	-0.7397501005092099	2.500000024972316	-1.4974523926926555e-15	-5.0740765266785285e-06	-0.009743384206049548	3.5476674123275127
44	0.24632554433730136	-6.109503401436271	-0.7397504657920047	2.500000024972316	-2.557273909638058e-15	-0.0007906715000452531	0.022620931045974575	3.628296217153138
45	0.3952140505030342	-6.245383825307232	-0.7398073862491077	2.500000024972316	-2.3221790911293356e-15	0.0010332271342963877	-0.022591837564323442	3.708925021978763
46	0.5440948220518051	-6.381272723759957	-0.7397330041960909	2.500000024972316	3.869918091262149e-17	-0.0007883257273860273	0.015284955162594824	3.7895538268043882
47	0.6929857008839231	-6.517150547779298	-0.7397897557809106	2.500000024972316	-8.978724899599125e-16	0.0004440819392220549	-0.00708992917019794	3.8701826316300134
48	0.8418688681943897	-6.653036821373134	-0.7397577863177727	2.500000024972316	2.5369362415615187e-15	-0.00012757057608410433	0.00044710094732892616	3.9508114364556386
49	0.9907563796399753	-6.788918335182588	-0.7397669701242362	2.500000024972316	2.0657726399114996e-15	-9.152136106577341e-05	0.003265611491860568	4.031440241281264
50	1.1396426431697544	-6.924801216340399	-0.7397735587474983	2.500000024972316	1.7035172768308357e-15	0.00017178099055632862	-0.005036204380439533	4.11206904610689
51	1.2885280114151916	-7.060685078450762	-0.7397611922330022	2.500000024972316	1.1376625513674158e-15	-0.00023428214950924092	0.004419596997070894	4.1926978509325155
52	1.437415060058994	-7.196567099357669	-0.7397780582064317	2.500000024972316	-1.6271709317463146e-15	0.00012206467418773408	0.08362890443738207	4.273326655758141
53	1.5862998168990747	-7.332451631370263	-0.7397692707698779	2.500000024972316	-1.5140444623323124e-13	0.006864963287849006	0.2282014276021024	4.353955460583767
54	1.735185767810103	-7.468334855062249	-0.73927505426448	2.5000000249723042	-5.702418126759791e-13	0.025264571654905033	0.20800695702929353	4.434584265409392
55	1.8841388562676569	-7.604144480268113	-0.7374558705467545	2.500000024972258	-9.434682273440796e-13	0.04203592399559192	0.1716746626302327	4.515213070235018
56	2.0333387607730224	-7.739682907864101	-0.7344279204751627	2.5000000249721817	-1.2484175075149926e-12	0.05587784686230982	0.19477848161448563	4.595841875060644
57	2.1829483842750257	-7.8747689449485785	-0.7304010820814597	2.500000024972081	-1.5925158725045377e-12	0.07158260304063571	0.2358326233302995	4.676470679886269
58	2.3331007629571308	-8.009251434647796	-0.7252390302118856	2.500000024971952	-2.0168848849362225e-12	0.09059750559864967	0.13194130689239159	4.757099484711895
59	2.4839453436093284	-8.142957041663545	-0.7186990122409357	2.5000000249717895	-2.218831524242113e-12	0.10123577548051452	0.295094074566344	4.83772828953752
60	2.6356611291624166	-8.275673270036714	-0.7113860484216188	2.5000000249716106	-2.7382845768790318e-12	0.125028858023923	0.12859334703203473	4.918357094363146
61	2.7883433982215737	-8.407276467469435	-0.7023380242089626	2.50000002497139	-5.307290693816723e-13	0.13539718590364325	-0.003658293447586181	4.998985899188772
62	2.9422101501931532	-8.53749282395848	-0.6925307766208626	2.500000024971347	-8.071806155649096e-12	0.13510222207526557	-0.4999997664020224	5.079614704014397
63	3.097346546186389	-8.666193933113789	-0.6827451566976709	2.5000000249706966	1.1042921692549389e-14	0.09478783849717864	-0.49999972171138046	5.160243508840023
64	3.2537349144736174	-8.793370798635754	-0.6759008694049076	2.5000000249706975	7.667167258132806e-15	0.0544734585224444	-0.4999993451036037	5.2408723136656485
65	3.410990048034611	-8.91947432685067	-0.6719754413673488	2.500000024970698	2.0949554208891197e-15	0.014159108913144822	-0.4999941930994704	5.321501118491274
66	3.5687389790801674	-9.044959591378115	-0.6709560589225392	2.500000024970698	9.160103454680493e-16	-0.026154825296219184	0.2512757054774103	5.4021299233169
67	3.726615745617668	-9.17028398424401	-0.6728393743896303	2.500000024970698	6.730614919306606e-17	-0.0058947654818769174	0.07734292255839122	5.482758728142525
68	3.884256206942551	-9.295905486435414	-0.6732637435016342	2.500000024970698	-0.006288700564030181	0.0003413019257472003	-0.009749154613538093	5.563387532968151
69	4.041843344189011	-9.421593875055846	-0.6732391731733315	2.499492974560314	-1.0000000096365809	-0.00044476075882254667	0.010970979325051507	5.644016337793777
70	4.1994016071178075	-9.547252900316602	-0.6732711850107443	2.418864168957646	-1.000000009818292	0.00043981619195020827	0.15014694308105578	5.724645142619402
71	4.3518734525439395	-9.668863289601157	-0.6732405502202843	2.3382353633402704	-1.0000000098788613	0.012545984760780742	-0.2953385032542232	5.805273947445028
72	4.499266504379454	-9.786415483943523	-0.6723957617886187	2.2576065577179536	-1.000000009909146	-0.011266805775597534	-0.49999701179479517	5.8859027522706535
73	4.641672868757976	-9.899793891565901	-0.6731282483034101	2.176977752093137	-1.0000000099273167	-0.051580967252996046	-0.499998598920332	5.966531557096279
74	4.7789131725713965	-10.009223626364399	-0.6763646398898555	2.096348946466795	-1.0000000099394306	-0.09189525669842957	0.016065498000139268	6.047160361921905
75	4.9107287701131845	-10.115027568275638	-0.6819277003039667	2.015720140839415	-1.0000000099480835	-0.09059991479574693	0.4999997243913505	6.12778916674753
76	5.036906623162782	-10.217465644309218	-0.6872009796247177	1.9350913352112735	-1.000000009954573	-0.0502855346049299	0.499999919102195	6.208417971573156
77	5.157517103123577	-10.316443583264023	-0.6900053992934082	1.8544625295825423	-1.0000000099596198	-0.00997113871480997	0.49999996601746055	6.289046776398782
78	5.272835682218301	-10.411621216971628	-0.6905378867782296	1.7738337239533346	-1.000000009963657	0.030343260958032026	0.4999999838789022	6.369675581224407
79	5.3830919170311455	-10.502719415669722	-0.68898749782256	1.6932049183237279	-1.0000000099669597	0.07065766207102106	0.4999999923870993	6.450304386050033
80	5.488471196013218	-10.58951351266341	-0.6855366599333512	1.6125761126937768	-1.000000009969712	0.11097206387001622	0.4999999970267747	6.5309331908756585
81	5.589117065826499	-10.671827735637942	-0.6803623317979006	1.5319473070635203	-1.0000000099720403	0.15128646604310328	0.49999999978874987	6.611561995701284
82	5.685133985143373	-10.749530466825242	-0.6736371005137785	1.4513185014329861	-1.000000009974036	0.19160086843888552	0.5000000015273913	6.69219080052691
83	5.776590386802965	-10.822530170600672	-0.6655302373988323	1.370689695802194	-1.0000000099757655	0.23191527097485273	0.5000000026538293	6.772819605352535
84	5.86352195370685	-10.890771843134887	-0.656208732460484	1.2900608901711554	-1.0000000099772788	0.2722296736016436	0.5000000033815937	6.853448410178161
85	5.945935032337819	-10.954233853945027	-0.6458383276237589	1.2094320845398778	-1.0000000099786142	0.31254407628711356	0.5000000038257462	6.934077215003787
86	6.023810121758801	-11.012925063304715	-0.6345845696031303	1.128803278908362	-1.000000009979801	0.3528584790083952	0.5000000040462634	7.014706019829412
87	6.097105386574479	-11.066882112325365	-0.6226139049389187	1.0481744732766038	-1.0000000099808632	0.39317288174745696	0.5000000040669097	7.095334824655038
88	6.165760150585433	-11.116166794013155	-0.6100948423449732	0.9675456676445933	-1.0000000099818194	0.43348728448818336	0.5000000038808159	7.1759636294806635
89	6.229698334543762	-11.160863423658894	-0.5971992113452242	0.8869168620123143	-1.0000000099826847	0.4738016872139051	0.5000000034448832	7.256592434306289
90	6.2888318072262495	-11.201076135445843	-0.5841035515263511	0.8062880563797425	-1.0000000099834716	0.5141160899044779	0.5000000026570592	7.337221239131915
